#,What's your graduate group?,How many years are you into your program?,Markdown.,RMarkdown,LaTex,jupyter notebooks,blogdown,organize and run code efficiently,create PDF and/or HTML files to share ,create a resume,create a website (e.g. - blogdown),Other,"You're given an ultimatum, and must choose one. You select:",Start Date (UTC),Submit Date (UTC),time,time_s,Network ID
31d6f50f57f55cdba8d373d3cecc98eb,HSGG,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,sweet potato fries,5:53:29 PM,5:54:30 PM,01:01.0,61,a0699dfb18
a7e5085d6615a09c18660a6df7f5ca62,Ecology,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,sweet potato fries,8:37:14 PM,8:38:38 PM,01:24.0,84,867bfbec46
5b683a1f2f32aebc6cc3f769d7d7e384,Ecology,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,NA,8:41:26 PM,8:41:59 PM,00:33.0,33,1feb946f93
3d3615a30510608b3a47f5e738b7d838,Ecology,4+,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,sweet potato fries,9:41:06 PM,9:42:48 PM,01:42.0,102,f5eeda87ff
147a8b1a6f8f3a83317c977d83a6159e,Psychology,4+,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,french fries,12:23:17 AM,12:24:04 AM,00:47.0,47,f5cef35467
42ca415b47d1d811f16c78281a7c9806,Ecology,4+,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,sweet potato fries,5:08:20 PM,5:09:37 PM,01:17.0,77,4ad436f235
d9aff9e972c1858cf0d62d5972dba7eb,Food Science,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,sweet potato fries,5:41:22 AM,5:42:06 AM,00:44.0,44,569ee4c0e0
3785b650e1746f5fdfe706a771653649,Ecology,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,sweet potato fries,3:55:20 PM,3:55:53 PM,00:33.0,33,7cf868d16c
80d4b81ca7667b1b705f0d71071f7773,Postdoc,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,sweet potato fries,4:00:53 PM,4:01:47 PM,00:54.0,54,e22383d710
3af398bb1c9eaeb29978dc55dfa0a193,Transportation technology policy,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,sweet potato fries,4:22:58 PM,4:23:55 PM,00:57.0,57,c3e6b1d39d
245b3e0ec12c65ea0a0d83fecce23a84,Geography,2,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,sweet potato fries,4:28:06 PM,4:28:52 PM,00:46.0,46,54f94cb789
84b057d3c2f8130e8d8c590be1264905,Ecology,4+,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Create nicely formatted tables, if that is possible",sweet potato fries,4:40:26 PM,4:41:43 PM,01:17.0,77,011d364cf7
eea19bca83941aec8b05526730bb9bdb,Horticulture and Agronomy,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,sweet potato fries,4:50:15 PM,4:51:00 PM,00:45.0,45,83cdca15d1
dc4f13052ad98cddb4bde2e550e9f1d5,Avian Sciences,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,french fries,7:38:41 PM,7:39:51 PM,01:10.0,70,c29bb63081
2c5cebce5ad067b409001323a4049802,Entomology & Nematology,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not using it yet,sweet potato fries,6:45:00 PM,6:45:38 PM,00:38.0,38,7b6e7995bd
af75e9475f51c8cdbdc37812c4965054,Undergraduate,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,sweet potato fries,8:20:09 AM,8:22:04 AM,01:55.0,115,78fa250670
a77aa932700607bf759df8744fa9ff47,NA,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,sweet potato fries,10:25:33 PM,10:26:26 PM,00:53.0,53,895db8c3b7
,,,,,,,,,,,,,,,,,,